related_person_name,decayed_amount_sold,decayed_amount_percentile,gp_degree_norm,gp_pagerank_norm,investor_intent_score
aaronchow,9956020.91824198,0.9217118997912317,0.0,0.33478087555127806,0.4105008125331827
aaronmetapropventuresgpivllc,89.3176100817935,0.21920668058455114,0.0,0.08889172280610465,0.12249689396581925
abhinavgupta,167951.36985052837,0.6156054279749478,0.19688408644116215,0.3954732106457318,0.32726464315693027
abhinavthirdbasecapitalgpllc,2353167.9584850604,0.7372129436325678,0.4329437444549922,0.6272464388864699,0.439391545480119
adamfeinstein,1466.962849028071,0.36482254697286015,0.08712259615500177,0.21529147156352912,0.21235038664097575
adamfine,18430572.67561713,0.9394572025052192,0.0,0.33323573597109435,0.4197553722933025
adamshapiro,6596.491982333667,0.44572025052192066,0.0,0.17465087666449028,0.2167921480812375
adamstern,106286.88417091046,0.4836464857341684,0.14893706185882832,0.3493047436626533,0.26898108612322075
adebayoglobalinfrastructuregpvlp,30260850.422448132,0.9572025052192067,0.0,0.34314532429737893,0.4737660531080435
afzaltarar,238044.16810555325,0.45668058455114824,0.0,0.26016628084058574,0.22853889211883424
aidannadiapartnersaimanagerllc,23210.837611484032,0.5146137787056367,0.0,0.19979183648813398,0.2384144731768127
aidannadiapartnersaioneiimanagerllc,207521.21843233984,0.6701461377870563,0.0,0.24357114793613052,0.29981498647732224
aidannadiapartnersdromoreenergyiimanagerllc,2635802.5,0.8538622129436325,0.0,0.29436787492947447,0.37478160295634366
aidannadiapartnershatziimanagerllc,1350374.2663204721,0.8100208768267223,0.0,0.28100159785342027,0.3556126265314452
alanklpartnersllc,1150.2498919272928,0.18197633959638135,0.26918213182735123,0.351137778712668,0.17623981087438934
alanparkcollinsmanagerllc,68713785.02662271,0.69258872651357,0.32318225416883184,0.6119006223653515,0.42297126645720096
alasdairicapitalalternativeinvestmentsllc,40850583.45771756,0.9624217118997912,0.0,0.34914223797203664,0.44017034444562003
alexainspiredcapitalgpspviillc,81512.49685720472,0.5876826722338204,0.0,0.22489549186604105,0.26967771673489604
alexanderdoudkin,16.446569243987145,0.14822546972860126,0.0,0.056032109322290254,0.07397625614075726
alexanderriversideventurespartnershipllc,123543.93641258571,0.4216892075882727,0.678347081543842,0.7521986598048028,0.37123645152732854
alexkairoscontinuitygpllc,29831.275698489477,0.40709812108559496,0.08712259615500177,0.27548796763724703,0.219951387382281
alexurdea,1728254.2059818115,0.8225469728601252,0.0,0.2859325664663806,0.36130709751115475
alihamed,1443708.0802244116,0.7588726513569938,0.19688408644116215,0.4384674662789575,0.38686063832213646
allenscreekllc,29996.36057564125,0.5281837160751566,0.0,0.20491700597147308,0.2505928179670777
allensweetspotcapitaliigpllc,574287.0567436813,0.7526096033402923,0.0,0.2639140354475041,0.33104943559509126
alphapartnersmanagementllc,308813.37999414,0.7056367432150313,0.0,0.25151534277156057,0.316570404491279
andreavariaventuresgpmanagerllc,255032.18823402261,0.6847599164926931,0.0,0.24769122226676038,0.3021996088894773
andrekfundigpllc,2296846.8492110814,0.3475991649269311,0.0,0.31932238855989037,0.19143647492942378
andrewavenirgrowthmanagingpartnervllc,2194060.2947293967,0.8444676409185804,0.0,0.2907018966291309,0.38058765620719753
andrewfarkas,6228639.62966313,0.906054279749478,0.0,0.311554631277386,0.39926626070782373
andrewlifshitz,59768.9210239085,0.5772442588726514,0.0,0.21869473242534765,0.26336650026090325
andreydutov,12204.423911726699,0.46868475991649267,0.0,0.1869456484898779,0.2208911008143913
andyeastalliancepremiergpllc,11.686239377137882,0.1325678496868476,0.0,0.04966429156201523,0.07668421931980095
anikolospartnersfundiigpllc,125018.06711208254,0.6169102296450939,0.0,0.23344315625650378,0.2818383343049035
anthonypharsaluscapitalgpillc,23538122.421512943,0.9488517745302714,0.0,0.3381243489900462,0.42548246149295843
anthonypolanco,236.28563011977408,0.2745302713987474,0.0,0.10819616323915292,0.12657460798075357
anthonyprocapvelocitymanagementllc,0.14214634650774163,0.013569937369519834,0.0,0.0015475188397601454,0.01069942282537864
anupswamy,240619.7568106495,0.5266179540709812,0.08712259615500177,0.3172101894816914,0.2744661787592105
arthurphoenixcreditpartnersgpllc,176.03432133424855,0.25156576200417535,0.0,0.10234205045457523,0.13849280996288532
arulargospvgpllc,4459549.964319169,0.8862212943632568,0.0,0.30487734321356674,0.3904073903187538
ashleybittner,2287251.592016561,0.8475991649269311,0.0,0.29153322614868044,0.3788793472432565
ashleysmith,12612348.443687048,0.9290187891440501,0.0,0.32565462448598703,0.4123591760014177
avantikadaing,773.826539206113,0.3298538622129436,0.0,0.13184625514771423,0.15848887415371443
belaszigethy,2208249.180751614,0.8319415448851775,0.14893706185882832,0.4156857545951487,0.4343289119274887
benjaminnvpfundigpllc,19800239.762871504,0.94258872651357,0.0,0.33466834596092465,0.42216644108382495
blackrockorionopportunitiesgpllc,51200940.73567731,0.9707724425887265,0.0,0.3536556533296318,0.445656261910055
blockchainbuildersllc,631877.6725257044,0.7599164926931107,0.0,0.26582395610443954,0.3409437616031512
blueopalcapitalllc,410.7786776476334,0.2974947807933194,0.0,0.11921248657917641,0.15025695935861885
bocventuresfundiigpllc,60.5968855703851,0.19624217118997914,0.0,0.08124292714393432,0.10676928280338488
bocventuresxivbgpllc,38105.89997676321,0.5417536534446764,0.0,0.20969920705964684,0.24749673562785074
bocventuresxxivgpllc,75402.4767904147,0.5824634655532359,0.0,0.2233383329479829,0.2661555365438864
bradydougan,151.7235150144596,0.24112734864300625,0.0,0.0993899338738069,0.11921365350091251
