related_person_name,decayed_amount_sold,decayed_amount_percentile,gp_degree_norm,gp_pagerank_norm,investor_intent_score
alexanderencodedventuresfundigpllc,150.8026214364739,0.2347417840375587,0.0,0.09863183421384139,0.12235334148617069
alexanderwildwoodcapitaladvisorsllc,56.139049371545006,0.1784037558685446,0.0,0.07752292631728903,0.09151300868715218
alexandranewsummitimpactfundivgpllc,66.96985424814656,0.19718309859154928,0.0,0.08127283499795154,0.10326541595490622
andrewargonventuresgpiillc,13249.103992326982,0.4694835680751174,0.0,0.19518299495383754,0.22281282043561992
avetikboldlongevitygrowthgpllc,12332.998920661179,0.45539906103286387,0.0,0.19363517477297,0.22321766334138304
ballentinefundsgpllc,249124.20270911016,0.5246478873239437,0.25772180839315645,0.4582736963413463,0.3211870350946142
batteryglobaladvisorsllc,46877.37153860289,0.4643974960876369,0.5264750861319193,0.6229439956557062,0.35840386882612546
bihuacormorantprivatehealthcaregpvillc,32459000.891172215,0.9084507042253521,0.1140437169851399,0.4538663310231801,0.4481956435756492
bradgerstner,17745227.140798073,0.695357329160146,0.4526808302869428,0.6963691610497454,0.4526101606762951
brendanacadianassetmanagementllc,3507385.4072091323,0.8309859154929577,0.0,0.3157022826068712,0.3704097277223804
bruceatlasventureassociatesopportunityiiilp,17242901.976434447,0.9014084507042254,0.0,0.3501069354575873,0.4361060925933601
capitalfundiillc,38.162667941515316,0.1596244131455399,0.0,0.06936180088668906,0.0988740814343794
danielpolarisgrowthfundgpiiillc,192072722.48143128,0.9812206572769953,0.0,0.4021822672552747,0.5031105050563055
davidcrabbe,1579.9094350017856,0.2488262910798122,0.0,0.16422101681880483,0.13559373360461116
dodacceleratorfundgpllc,165.22460166313633,0.23943661971830985,0.0,0.1005925663206038,0.1249813058888409
elikent,60.15654892824364,0.18309859154929578,0.0,0.07899088556086928,0.10099020980927173
errikanderson,558451.4756814605,0.7605633802816901,0.0,0.2760062724039393,0.33956687223395116
everlaneequitypartnersigpllc,33.951793490475616,0.15023474178403756,0.0,0.06690428128986409,0.08343834756412012
flagoffshoregpltd,43256490.92629357,0.6737089201877934,0.0,0.38495153553941786,0.3454400377471712
flagventurecompanyviiillc,32353166.6470573,0.92018779342723,0.0,0.36370243672678054,0.4342074055688329
flagventurecompanyvllc,60415856.09121947,0.9530516431924883,0.0,0.37719485284889404,0.4659503877592754
geetaagentcapitalfundiiigpllc,92.8247379420061,0.20657276995305165,0.0,0.08823712086808673,0.11377436630413801
generalpartnerpolencapitalcloequitygpllc,2151578.891119824,0.7699530516431925,0.0,0.32011978429913013,0.3530630824613914
gregoryfoundersedgefundigpllc,6226925.942597199,0.8544600938967136,0.0,0.3281031057729067,0.3866174222988812
highvistagplimitedpartnership,84917.75556263843,0.5868544600938967,0.0,0.23531610743057785,0.27405770927281176
highvistaventurecompanyxivllc,43256490.92629357,0.6737089201877934,0.0,0.38495153553941786,0.3454400377471712
hinghamventuresllc,342.42988884888223,0.2183098591549296,0.1140437169851399,0.20633106157698544,0.14145155841161733
incafricahealthventures,2.9586204341199207,0.06572769953051644,0.0,0.01984965091897143,0.03740332175402443
janhaas,359.5717677361938,0.27699530516431925,0.0,0.11732147564743083,0.13707107510741628
jeffreyffmetropolismanagerllc,123808.8581042569,0.5727699530516431,0.1140437169851399,0.3335551071152665,0.2920083413186977
jeffreysilversmithpartnersvgplp,15153669.731113771,0.892018779342723,0.1949590218937863,0.499467150043929,0.5384412458473414
jeremiahelephantpartnersgpiiillc,1608.0535402521243,0.3474178403755869,0.0,0.1496344705514964,0.18151894810117333
johnanderson,24815.18306058869,0.5211267605633803,0.0,0.2087391619068665,0.2457938164691256
johndillspvgpllc,167.50237627462442,0.24413145539906103,0.0,0.10088659278894017,0.12002348348082593
johnfalconprivatecreditopportunitiesviigplp,108892280.55119063,0.9342723004694835,0.0,0.40489639862022997,0.46750653988666047
johnnasrah,29632936.029607005,0.9131455399061033,0.1140437169851399,0.4518984141064836,0.4679362835583435
johnspectrumequityassociatesxlp,398072.074676173,0.7276995305164319,0.0,0.26869266070978653,0.3296672918955578
johntaplett,1848857.1757098895,0.732394366197183,0.1140437169851399,0.391962654651354,0.36084884475668333
jonathanarctarisroyaltypartnersllc,5.55179331859036,0.09859154929577464,0.0,0.030734567589060364,0.05546896016970038
juliakarol,725.746714092158,0.3192488262910798,0.0,0.1324632825434683,0.15578822320406302
llcistanbulnewventure,353.510258812105,0.27230046948356806,0.0,0.11695521101725904,0.1258752091743067
louisalexandreheritagesearchpartnersgpllc,1438194.7370162755,0.7981220657276995,0.0,0.2964429085595682,0.3596090510692256
louisamatucci,149.6982702351799,0.2300469483568075,0.0,0.09847409409247608,0.11194523703372991
maiaconvergefundiiigplp,106.34668757710288,0.2112676056338028,0.0,0.09114574795562329,0.11495386217932005
manulifeemployeesecuritiescompanygpllc,334672.9456916195,0.7136150234741784,0.0,0.26494486261973366,0.32223671607935456
markwaveequityiiigpllc,39833527.76562556,0.9295774647887324,0.0,0.3681959588294775,0.44564032110734303
markwaveopportunityigpllc,1794415.9709911703,0.812206572769953,0.0,0.3012236256546168,0.36177940527701663
matthewhooks,1558663.356659982,0.5234741784037559,0.0,0.31315530494783395,0.24911743790630714
matthewtectonicventuresgpiiillc,55656969.00994614,0.9460093896713615,0.1140437169851399,0.46551572542311825,0.4918603816275986
matthewtolve,173156.28725883432,0.6384976525821596,0.0,0.2507089150300506,0.29247551665505445
matthewwosk,298.650638885395,0.17370892018779344,0.1140437169851399,0.20338044431822838,0.12907599052090785
michaelcollins,157242.92769884793,0.45314811241880504,1.0,1.0,0.46285615637368405
michaelkuritnik,984713.6709588049,0.7527386541471048,0.1949590218937863,0.44041005306664555,0.38109743200457236
michaeltrxcapitalfundigpllc,3066445.4135989747,0.5258215962441315,0.0,0.32777437070789595,0.26583862617699455
mikhailgurevich,366.36391881435156,0.22769953051643194,0.0,0.13266981786233184,0.12699826440102985
millstreetcapitalmanagementllc,1061852841.102147,1.0,0.0,0.43912249210478105,0.7726946990525737
nadersafarpartnersiiigpllc,209386029.76196155,0.9906103286384976,0.0,0.40404679244542574,0.5442262629707246
napacificlakepartnerslongtermcoinvestigpllc,327761.89311526273,0.7089201877934272,0.0,0.26449407168839306,0.3201742534561542
